,id,word,alt,bee,group,nTried,nMistakes,weight
1,1,gel,,one,study,0,0,1
2,2,day,,one,study,0,0,1
3,3,train,,one,study,0,0,1
4,4,upset,,one,study,0,0,1
5,5,sport,,one,study,0,0,1
6,6,father,,one,study,0,0,1
7,7,rich,,one,study,0,0,1
8,8,jam,,one,study,0,0,1
9,9,eel,,one,study,0,0,1
10,10,mugs,,one,study,0,0,1
11,11,fans,,one,study,0,0,1
12,12,fair,,one,study,0,0,1
13,13,dome,,one,study,0,0,1
14,14,dinner,,one,study,0,0,1
15,15,tall,,one,study,0,0,1
16,16,rats,,one,study,0,0,1
17,17,better,,one,study,0,0,1
18,18,fed,,one,study,0,0,1
19,19,hit,,one,study,0,0,1
20,20,sir,,one,study,0,0,1
21,21,peanut,,one,study,0,0,1
22,22,boom,,one,study,0,0,1
23,23,cake,,one,study,0,0,1
24,24,wave,,one,study,0,0,1
25,25,bite,,one,study,0,0,1
26,26,trunk,,one,study,0,0,1
27,27,noon,,one,study,0,0,1
28,28,sleepy,,one,study,0,0,1
29,29,gummy,,one,study,0,0,1
30,30,full,,one,study,0,0,1
31,31,sting,,one,study,0,0,1
32,32,huge,,one,study,0,0,1
33,33,ray,,one,study,0,0,1
34,34,born,,one,study,0,0,1
35,35,dusk,,one,study,0,0,1
36,36,jumping,,one,study,0,0,1
37,37,mops,,one,study,0,0,1
38,38,damp,,one,study,0,0,1
39,39,thanks,,one,study,0,0,1
40,40,from,,one,study,0,0,1
41,41,dash,,one,study,0,0,1
42,42,hunch,,one,study,0,0,1
43,43,skin,,one,study,0,0,1
44,44,each,,one,study,0,0,1
45,45,star,,one,study,0,0,1
46,46,shade,,one,study,0,0,1
47,47,began,,one,study,0,0,1
48,48,ribs,,one,study,0,0,1
49,49,grew,,one,study,0,0,1
50,50,forever,,one,study,0,0,1
51,51,fine,,one,study,0,0,1
52,52,freeze,,one,study,0,0,1
53,53,scorch,,one,study,0,0,1
54,54,motor,,one,study,0,0,1
55,55,talking,,one,study,0,0,1
56,56,money,,one,study,0,0,1
57,57,couch,,one,study,0,0,1
58,58,nibble,,one,study,0,0,1
59,59,strands,,one,study,0,0,1
60,60,chapter,,one,study,0,0,1
61,61,chess,,one,study,0,0,1
62,62,slimy,,one,study,0,0,1
63,63,squeak,,one,study,0,0,1
64,64,friend,,one,study,0,0,1
65,65,laptop,,one,study,0,0,1
66,66,movie,,one,study,0,0,1
67,67,known,,one,study,0,0,1
68,68,suffer,,one,study,0,0,1
69,69,double,,one,study,0,0,1
70,70,watch,,one,study,0,0,1
71,71,ahoy,,one,study,0,0,1
72,72,dream,,one,study,0,0,1
73,73,whine,,one,study,0,0,1
74,74,beans,,one,study,0,0,1
75,75,child,,one,study,0,0,1
76,76,space,,one,study,0,0,1
77,77,princess,,one,study,0,0,1
78,78,piper,,one,study,0,0,1
79,79,hear,,one,study,0,0,1
80,80,sprint,,one,study,0,0,1
81,81,awe,,one,study,0,0,1
82,82,afar,,one,study,0,0,1
83,83,bowl,,one,study,0,0,1
84,84,sweat,,one,study,0,0,1
85,85,cost,,one,study,0,0,1
86,86,sleek,,one,study,0,0,1
87,87,bottle,,one,study,0,0,1
88,88,smart,,one,study,0,0,1
89,89,stared,,one,study,0,0,1
90,90,plopped,,one,study,0,0,1
91,91,darted,,one,study,0,0,1
92,92,angry,,one,study,0,0,1
93,93,sidekick,,one,study,0,0,1
94,94,stuff,,one,study,0,0,1
95,95,least,,one,study,0,0,1
96,96,little,,one,study,0,0,1
97,97,felt,,one,study,0,0,1
98,98,summer,,one,study,0,0,1
99,99,carefully,,one,study,0,0,1
100,100,would,,one,study,0,0,1
101,101,shambles,,one,study,0,0,1
102,102,taillight,,one,study,0,0,1
103,103,quicken,,one,study,0,0,1
104,104,presence,,one,study,0,0,1
105,105,sizzle,,one,study,0,0,1
106,106,hatchling,,one,study,0,0,1
107,107,razz,,one,study,0,0,1
108,108,followed,,one,study,0,0,1
109,109,purple,,one,study,0,0,1
110,110,entire,,one,study,0,0,1
111,111,December,,one,study,0,0,1
112,112,sudden,,one,study,0,0,1
113,113,slither,,one,study,0,0,1
114,114,combed,,one,study,0,0,1
115,115,patrol,,one,study,0,0,1
116,116,epic,,one,study,0,0,1
117,117,vital,,one,study,0,0,1
118,118,window,,one,study,0,0,1
119,119,pocket,,one,study,0,0,1
120,120,project,,one,study,0,0,1
121,121,goofy,,one,study,0,0,1
122,122,remember,,one,study,0,0,1
123,123,travel,,one,study,0,0,1
124,124,cranky,,one,study,0,0,1
125,125,career,,one,study,0,0,1
126,126,disease,,one,study,0,0,1
127,127,trophy,,one,study,0,0,1
128,128,theater,theatre,one,study,0,0,1
129,129,athlete,,one,study,0,0,1
130,130,jotted,,one,study,0,0,1
131,131,swirled,,one,study,0,0,1
132,132,amount,,one,study,0,0,1
133,133,sighed,,one,study,0,0,1
134,134,sheen,,one,study,0,0,1
135,135,worse,,one,study,0,0,1
136,136,sandwich,,one,study,0,0,1
137,137,duo,,one,study,0,0,1
138,138,gleaming,,one,study,0,0,1
139,139,repress,,one,study,0,0,1
140,140,clothes,,one,study,0,0,1
141,141,either,,one,study,0,0,1
142,142,rely,,one,study,0,0,1
143,143,chose,,one,study,0,0,1
144,144,belle,,one,study,0,0,1
145,145,else,,one,study,0,0,1
146,146,picture,,one,study,0,0,1
147,147,prepare,,one,study,0,0,1
148,148,percent,,one,study,0,0,1
149,149,afraid,,one,study,0,0,1
150,150,rescue,,one,study,0,0,1
151,151,gradual,,one,champions,0,0,1
152,152,ferocious,,one,champions,0,0,1
153,153,frequently,,one,champions,0,0,1
154,154,permission,,one,champions,0,0,1
155,155,towel,,one,champions,0,0,1
156,156,sundae,,one,champions,0,0,1
157,157,ornament,,one,champions,0,0,1
158,158,rooster,,one,champions,0,0,1
159,159,scold,,one,champions,0,0,1
160,160,organza,,one,champions,0,0,1
161,161,fragile,,one,champions,0,0,1
162,162,galaxy,,one,champions,0,0,1
163,163,complaint,,one,champions,0,0,1
164,164,curries,,one,champions,0,0,1
